method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
gradaware_lora,distilbert-base-uncased,rte,42,500,accuracy,0.5342960288808665,739586,1.0925332946813067,10.0,0.5342960288808665,1.0466197729110718,,0.5342960288808665,0.2384,1161.696,75.489,
gradaware_lora,distilbert-base-uncased,rte,42,500,accuracy,0.5415162454873647,739586,1.0925332946813067,10.0,0.5415162454873647,1.0445140600204468,,0.5415162454873647,0.1739,1593.279,103.534,
gradaware_lora,distilbert-base-uncased,rte,456,500,accuracy,0.5812274368231047,739586,1.0925332946813067,10.0,0.5812274368231047,0.8765100240707397,,0.5812274368231047,0.2122,1305.072,84.806,
gradaware_lora,distilbert-base-uncased,rte,456,500,accuracy,0.5812274368231047,739586,1.0925332946813067,10.0,0.5812274368231047,0.8767516016960144,,0.5812274368231047,0.1812,1528.464,99.323,
gradaware_lora,distilbert-base-uncased,rte,789,500,accuracy,0.5379061371841155,739586,1.0925332946813067,10.0,0.5379061371841155,1.0267835855484009,,0.5379061371841155,0.1781,1554.941,101.043,
gradaware_lora,distilbert-base-uncased,rte,789,500,accuracy,0.5415162454873647,739586,1.0925332946813067,10.0,0.5415162454873647,1.0273542404174805,,0.5415162454873647,0.1835,1509.785,98.109,
lora,distilbert-base-uncased,rte,1024,500,accuracy,0.555956678700361,739586,1.0925332946813067,10.0,0.555956678700361,0.8965165615081787,,0.555956678700361,0.1763,1570.983,102.086,
lora,distilbert-base-uncased,rte,123,500,accuracy,0.5342960288808665,739586,1.0925332946813067,10.0,0.5342960288808665,1.016252040863037,,0.5342960288808665,0.1723,1608.098,104.497,
lora,distilbert-base-uncased,rte,42,500,accuracy,0.51985559566787,739586,1.0925332946813067,10.0,0.51985559566787,1.0517417192459106,,0.51985559566787,0.1764,1570.212,102.035,
lora,distilbert-base-uncased,rte,456,500,accuracy,0.5884476534296029,739586,1.0925332946813067,10.0,0.5884476534296029,0.8608962297439575,,0.5884476534296029,0.2007,1380.14,89.684,
lora,distilbert-base-uncased,rte,789,500,accuracy,0.51985559566787,739586,1.0925332946813067,10.0,0.51985559566787,1.0174219608306885,,0.51985559566787,0.1653,1675.986,108.909,
